Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
,,,,,,,,,,,,,,,,,,,,,,
383,TRADING,KAMPALA,KAMPALA,CIVIC CENTRE,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4000000
384,EDUCATION & HEALTH,WESTERN,IBANDA,BUFUNDA,English,Owner,,25-34,Female,Ugandan,Human health activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,4000000
385,FINANCIAL,WESTERN,KASESE,TOWN CENTRE WARD,English,Manager,,35-50,Female,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,22,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
,,,,,,,,,,,,,,,,,,,,,,
387,RECREATION & PERSONAL,WESTERN,IBANDA,BUFUNDA,English,Owner,,50+,Male,Ugandan,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and m",10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
390,FOOD PROCESSING,WESTERN,MBARARA,KAKOBA,English,Manager,,25-34,Male,Ugandan,Food and beverage service activities,,6,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
392,FINANCIAL,WESTERN,IBANDA,NYANTSIMBO,English,Owner,,25-34,Male,Ugandan,"Financial service activities, except insurance and pension funding","Retail trade, except of motor vehicles and motorcycles",4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,690000
393,TRADING,CENTRAL,GOMBA,BUTITI,Luganda,Owner,,35-50,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,25,Single owner/sole proprietorship,,Home,,Yes,No,0,0,900000
394,AGRICULTURE,CENTRAL,MUKONO,NABALANGA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Farm,,Yes,Yes,1,1,1200000
395,EDUCATION & HEALTH,CENTRAL,LUWERO,LUWERO CENTRAL,English,Owner,,35-50,Female,Ugandan,Education,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,320000
,,,,,,,,,,,,,,,,,,,,,,
397,OTHER MANUFACTURING,CENTRAL,GOMBA,BUTITI,English,Owner,,18-24,Male,Ugandan,Publishing activities,,4,Single owner/sole proprietorship,,Home,,No,No,0,0,60000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
400,EDUCATION & HEALTH,CENTRAL,BUTAMBALA,KIBIBI,Luganda,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",Education,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,650000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
406,FINANCIAL,WESTERN,MBARARA,KAKOBA,English,Owner,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,600000
,,,,,,,,,,,,,,,,,,,,,,
408,EDUCATION & HEALTH,CENTRAL,GOMBA,BUKANDULA,English,Owner,,35-50,Female,Ugandan,Education,,20,Single owner/sole proprietorship,,Home,,Yes,No,0,1,200000
409,EDUCATION & HEALTH,CENTRAL,GOMBA,KANONI,English,Owner,,25-34,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,4,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,0,1,1250000
,,,,,,,,,,,,,,,,,,,,,,
411,REAL ESTATE,KAMPALA,KAMPALA,NAGURU I,English,Owner,,35-50,Male,Ugandan,Rental and leasing activities,Activities of extraterritorial organizations and bodies,14,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,780000
412,TRADING,KAMPALA,KAMPALA,MENGO,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,20,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2000000
413,REAL ESTATE,KAMPALA,KAMPALA,MBUYA I,English,Manager,,50+,Male,Ugandan,Rental and leasing activities,,14,Partnership,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,1,0,600000
414,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,BUGOLOBI,English,Owner,,25-34,Female,Ugandan,"Computer programming, consultancy and related activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,800000
415,TRADING,CENTRAL,MUKONO,NAMATABA,English,Owner,,25-34,Male,Ugandan,Repair and installation of machinery and equipment,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1200000
417,AGRICULTURE,KAMPALA,KAMPALA,LUZIRA PRISONS,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Home,,No,Yes,0,0,850000
418,REAL ESTATE,KAMPALA,KAMPALA,NAKASERO II,English,Owner,,35-50,Male,Ugandan,Real estate activities,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,0
419,REAL ESTATE,KAMPALA,KAMPALA,MENGO,English,Manager,,25-34,Male,Ugandan,Rental and leasing activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
422,EDUCATION & HEALTH,NORTHERN,OYAM,WESTERN WARD,English,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",Construction of buildings,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,900000
423,FOOD PROCESSING,NORTHERN,APAC,WESTERN WARD,English,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,150000
424,EDUCATION & HEALTH,NORTHERN,APAC,WESTERN WARD,English,Owner,,35-50,Female,Ugandan,Education,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2000000
425,EDUCATION & HEALTH,NORTHERN,APAC,EASTERN WARD,English,Owner,,50+,Male,Ugandan,Social work activities without accommodation,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,900000
426,FINANCIAL,NORTHERN,KOLE,ADYEDA,English,Manager,,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,7,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,10000000
427,AGRICULTURE,KAMPALA,KAMPALA,KIBULI,English,Owner,,50+,Male,Ugandan,Activities of households as employers of domestic personnel,,29,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,13000000
,,,,,,,,,,,,,,,,,,,,,,
429,AGRICULTURE,EASTERN,JINJA,BULUGO,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Farm,,Yes,No,0,0,0
431,REAL ESTATE,KAMPALA,KAMPALA,WANDEGEYA,English,Manager,,35-50,Male,Ugandan,Rental and leasing activities,Real estate activities,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,40000000
432,TRADING,KAMPALA,KAMPALA,NAKASERO II,English,Manager,,25-34,Male,Ugandan,Food and beverage service activities,Undifferentiated goods- and services-producing activities of private households,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1200000
433,UTILITIES,CENTRAL,MUKONO,SEETA,English,Owner,,25-34,Male,Ugandan,Activities of extraterritorial organizations and bodies,"Crop and animal production, hunting and related service activities",3,Single owner/sole proprietorship,,Farm,,Yes,Yes,1,1,1480000
434,OTHER MANUFACTURING,WESTERN,MBARARA,RUTTI,English,Manager,,25-34,Female,Ugandan,Manufacture of wearing apparel,"Retail trade, except of motor vehicles and motorcycles",4,Single owner/sole proprietorship,,Home,,No,No,0,1,300000
436,EDUCATION & HEALTH,WESTERN,KASESE,BWERA WARD,English,Owner,,50+,Female,Ugandan,Education,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1000000
439,EDUCATION & HEALTH,CENTRAL,BUIKWE,SAGAZI,English,Owner,,25-34,Female,Ugandan,Education,,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,750000
440,AGRICULTURE,CENTRAL,WAKISO,KAKIRI,English,Manager,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Home,,No,Yes,0,0,2912000
441,AGRICULTURE,CENTRAL,WAKISO,KAKIRI,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Farm,,No,No,0,0,7000000
442,TRANSPORT & STORAGE,CENTRAL,BUIKWE,NJERU WEST,English,Owner,,35-50,Male,Ugandan,Land transport and transport via pipelines,"Crop and animal production, hunting and related service activities",7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
443,AGRICULTURE,CENTRAL,BUIKWE,NJERU WEST,English,Manager,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,16,Co-operative,,Farm,,Yes,No,1,1,150000
445,TRANSPORT & STORAGE,KAMPALA,KAMPALA,SALAAMA,English,Owner,,35-50,Male,Ugandan,Other personal service activities,Warehousing and support activities for transportation,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,500000
446,OTHER MANUFACTURING,KAMPALA,KAMPALA,BANDA,English,Other (please state),Assistant manager,25-34,Female,Ugandan,Manufacture of wearing apparel,,13,Partnership,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,300000
449,FOOD PROCESSING,WESTERN,MBARARA,NYAMUTYOBORA,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,6,"Privately held, limited company",,Home,,No,No,0,0,10000000
450,RECREATION & PERSONAL,WESTERN,MBARARA,KATETE,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,5,"Privately held, limited company",,Home,,No,No,0,0,800000
451,EDUCATION & HEALTH,KAMPALA,KAMPALA,MUTUNDWE,English,Owner,,35-50,Female,Ugandan,Education,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,12000000
452,FOOD PROCESSING,KAMPALA,KAMPALA,MAKINDYE I,English,Owner,,25-34,Female,Ugandan,Food and beverage service activities,,6,Single owner/sole proprietorship,,Home,,No,No,1,0,500000
453,RECREATION & PERSONAL,CENTRAL,MUKONO,NAGGALAMA,English,Owner,,50+,Male,Ugandan,"Creative, arts and entertainment activities",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,4000000
454,TRADING,KAMPALA,KAMPALA,KISENYI III,Luganda,Owner,,35-50,Male,Ugandan,Other personal service activities,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
,,,,,,,,,,,,,,,,,,,,,,
456,EDUCATION & HEALTH,KAMPALA,KAMPALA,KISENYI III,English,Owner,,25-34,Female,Ugandan,Human health activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,3000000
457,RECREATION & PERSONAL,KAMPALA,KAMPALA,MBUYA II,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and m",4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,600000
460,REAL ESTATE,KAMPALA,KAMPALA,KASUBI,English,Owner,,35-50,Male,Ugandan,Rental and leasing activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,150000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,FOOD PROCESSING,KAMPALA,KAMPALA,BANDA,English,Owner,,25-34,Male,Ugandan,Other mining and quarrying,Rental and leasing activities,4,Partnership,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,200000
463,TRANSPORT & STORAGE,CENTRAL,BUIKWE,BUIKWE,English,Owner,,35-50,Female,Ugandan,Other personal service activities,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,300000
464,RECREATION & PERSONAL,WESTERN,MBARARA,KABARE,English,Manager,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,5,Single owner/sole proprietorship,,Home,,No,No,0,0,700000
465,RECREATION & PERSONAL,CENTRAL,BUIKWE,LUGAZI CENTRAL,English,Manager,,25-34,Male,Ugandan,"Creative, arts and entertainment activities","Retail trade, except of motor vehicles and motorcycles",5,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4500000
466,RECREATION & PERSONAL,CENTRAL,BUTAMBALA,KABASANDA,Luganda,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,8,Single owner/sole proprietorship,,Home,,No,Yes,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
471,MINING,EASTERN,JINJA,WALUKUBA EAST,English,Owner,,35-50,Male,Indian,Other mining and quarrying,,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,7000000
472,OTHER MANUFACTURING,EASTERN,BUGIRI,NKUSI,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,29,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,200000
473,FOOD PROCESSING,EASTERN,BUGIRI,NDIFAKULYA A WARD,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,0
,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,FOOD PROCESSING,WESTERN,MBARARA,KABARE,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,Home,,No,No,0,0,50000
,,,,,,,,,,,,,,,,,,,,,,
478,AGRICULTURE,KAMPALA,KAMPALA,GGABA,Luganda,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,14,Single owner/sole proprietorship,,Home,,Yes,Yes,1,0,1250000
479,FOOD PROCESSING,KAMPALA,KAMPALA,CIVIC CENTRE,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,300000
480,FOOD PROCESSING,EASTERN,SOROTI,CENTRAL WARD,English,Manager,,25-34,Female,Ugandan,"Crop and animal production, hunting and related service activities",Food and beverage service activities,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
484,AGRICULTURE,EASTERN,MBALE,NAMAGUMBA,English,Owner,,35-50,Male,Ugandan,Other mining and quarrying,,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,100000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
488,REAL ESTATE,KAMPALA,KAMPALA,NATEETE,Luganda,Owner,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,400000
489,AGRICULTURE,KAMPALA,KAMPALA,LUZIRA,English,Manager,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,8,Partnership,,Home,,No,Yes,1,0,300000
490,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,NSAMBYA RAILWAYS,English,Owner,,25-34,Female,Ugandan,"Computer programming, consultancy and related activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,900000
,,,,,,,,,,,,,,,,,,,,,,
492,TRANSPORT & STORAGE,EASTERN,BUSIA,CENTRAL,English,Manager,,25-34,Male,Ugandan,Postal and courier activities,,5,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,AGRICULTURE,EASTERN,JINJA,NAMAGERA,English,Owner,,18-24,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Farm,,No,No,0,0,0
495,INFORMATION & COMMUNICATION,WESTERN,MBARARA,RUHARO,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,6,Single owner/sole proprietorship,,Home,,No,No,0,0,100000
496,TRADING,WESTERN,MBARARA,RWEBISHEKYE,English,Manager,,35-50,Male,Ugandan,"Wholesale trade, except of motor vehicles and motorcycles",,9,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,4000000
497,OTHER MANUFACTURING,WESTERN,MBARARA,RWEBISHEKYE,English,Owner,,25-34,Male,Ugandan,Manufacture of basic metals,,4,Single owner/sole proprietorship,,Home,,No,No,0,0,1000000
,,,,,,,,,,,,,,,,,,,,,,
499,OTHER MANUFACTURING,WESTERN,MBARARA,KAKOBA,English,Owner,,50+,Male,Ugandan,Publishing activities,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
503,REAL ESTATE,KAMPALA,KAMPALA,RUBAGA,Luganda,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,FOOD PROCESSING,KAMPALA,KAMPALA,LUZIRA,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,200000
507,RECREATION & PERSONAL,KAMPALA,KAMPALA,CIVIC CENTRE,English,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,3000000
,,,,,,,,,,,,,,,,,,,,,,
512,ACCOMODATION,KAMPALA,KAMPALA,BANDA,English,Owner,,35-50,Male,Ugandan,Accommodation,,7,Single owner/sole proprietorship,,Home,,No,Yes,1,0,6000000
513,TRANSPORT & STORAGE,KAMPALA,KAMPALA,LUNGUJJA,English,Owner,,35-50,Male,Ugandan,Warehousing and support activities for transportation,Other personal service activities,4,Co-operative,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,400000
514,RECREATION & PERSONAL,KAMPALA,KAMPALA,NAKASERO I,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,1,0,500000
515,RECREATION & PERSONAL,KAMPALA,KAMPALA,KIWATULE (KIWANDE),English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1300000
,,,,,,,,,,,,,,,,,,,,,,
518,ACCOMODATION,KAMPALA,KAMPALA,KIWATULE (KIWANDE),English,Manager,,25-34,Male,Ugandan,Accommodation,,7,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,10000000
522,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,NAKAWA,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,200000
,,,,,,,,,,,,,,,,,,,,,,
524,RECREATION & PERSONAL,EASTERN,JINJA,BUGEMBE,English,Owner,,25-34,Female,Ugandan,"Creative, arts and entertainment activities",,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,200000
525,FOOD PROCESSING,KAMPALA,KAMPALA,NATEETE,English,Owner,,18-24,Male,Ugandan,Food and beverage service activities,"Retail trade, except of motor vehicles and motorcycles",5,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,250000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
531,TRADING,KAMPALA,KAMPALA,WANDEGEYA,Luganda,Owner,,35-50,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,Warehousing and support activities for transportation,12,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,5000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
534,AGRICULTURE,EASTERN,JINJA,BUWEKULA,English,Owner,,25-34,Female,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,Farm,,No,No,0,0,100000
536,EDUCATION & HEALTH,EASTERN,JINJA,BUWENDA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,20,Partnership,,Home,,Yes,Yes,1,1,800000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
541,AGRICULTURE,CENTRAL,BUIKWE,BUIKWE,Luganda,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Farm,,No,No,0,0,200000
542,AGRICULTURE,KAMPALA,KAMPALA,NAKAWA,Luganda,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Farm,,No,Yes,0,0,1200000
544,AGRICULTURE,CENTRAL,LUWERO,BWAZIBA,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,20,Single owner/sole proprietorship,,Farm,,No,No,0,0,0
546,RECREATION & PERSONAL,EASTERN,IGANGA,NABIDONGHA WARD,English,Owner,,18-24,Female,Ugandan,"Creative, arts and entertainment activities","Wholesale trade, except of motor vehicles and motorcycles",12,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3500000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
549,ACCOMODATION,WESTERN,MBARARA,KAKOBA,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
554,FOOD PROCESSING,EASTERN,IGANGA,NKAATU WARD,English,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,8,Single owner/sole proprietorship,,Home,,Yes,Yes,1,1,3500000
555,TRANSPORT & STORAGE,KAMPALA,KAMPALA,KABOWA,Luganda,Owner,,35-50,Male,Ugandan,Other personal service activities,,10,Single owner/sole proprietorship,,Home,,No,Yes,0,0,1350000
556,RECREATION & PERSONAL,CENTRAL,WAKISO,KIKAJJO,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
557,TRADING,KAMPALA,KAMPALA,WANDEGEYA,English,Owner,,25-34,Male,Ugandan,Education,Activities of households as employers of domestic personnel,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1200000
559,OTHER MANUFACTURING,KAMPALA,KAMPALA,NAKASERO IV,English,Owner,,35-50,Female,Ugandan,Publishing activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,30000000
560,RECREATION & PERSONAL,KAMPALA,KAMPALA,NAKASERO I,English,Owner,,35-50,Female,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
563,AGRICULTURE,CENTRAL,LUWERO,KASANA-KAVULE,Luganda,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Farm,,No,No,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
566,AGRICULTURE,EASTERN,JINJA,BUWENGE EAST WARD,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,15,Single owner/sole proprietorship,,Farm,,No,No,0,0,12000000
,,,,,,,,,,,,,,,,,,,,,,
568,TRANSPORT & STORAGE,KAMPALA,KAMPALA,BUKASA,Luganda,Owner,,35-50,Male,Ugandan,Other personal service activities,,2,Single owner/sole proprietorship,,Home,,No,Yes,0,0,500000
569,RECREATION & PERSONAL,KAMPALA,KAMPALA,NAKAWA,Luganda,Manager,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",Food and beverage service activities,10,Partnership,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,500000
570,AGRICULTURE,EASTERN,JINJA,BUWENGE WEST WARD,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,36,Partnership,,Farm,,Yes,Yes,0,0,4000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
575,OTHER MANUFACTURING,CENTRAL,WAKISO,KIWAFU,English,Owner,,50+,Male,Ugandan,Manufacture of wearing apparel,,21,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
578,AGRICULTURE,KAMPALA,KAMPALA,LUZIRA PRISONS,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,27,Single owner/sole proprietorship,,Home,,No,No,0,0,0
579,INFORMATION & COMMUNICATION,KAMPALA,KAMPALA,MAKINDYE II,English,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,1,0,450000
580,OTHER MANUFACTURING,CENTRAL,WAKISO,BWEYOGERERE,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,13,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,200000
